Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
azure,246000,LOW,21,148.82,1018.44,No,
msft azure,246000,LOW,21,148.82,1018.44,No,
azure portal,60500,LOW,12,181.99,1556.35,No,
microsoft azure,40500,LOW,32,188.27,1216.57,No,
ms azure,40500,LOW,32,188.27,1216.57,No,
azure devops,27100,LOW,18,287.78,1084.78,No,
azure active directory,18100,LOW,10,221.44,1079.40,No,
azure openai service,18100,LOW,12,166.63,1099.85,No,
azure data studio,9900,LOW,16,320.05,1329.53,No,
microsoft cloud,9900,LOW,13,95.03,601.56,No,
azure ad,8100,LOW,23,201.72,1054.30,No,
azure active directory azure ad,8100,LOW,23,201.72,1054.30,No,
azure artificial intelligence,6600,LOW,17,268.95,1076.71,No,
azure cloud,5400,MEDIUM,39,248.33,1335.80,No,
azure databricks,5400,MEDIUM,35,233.09,1003.55,No,
azure openai,5400,LOW,23,208.89,1215.00,No,
azure vm,5400,LOW,15,298.54,1613.72,No,
azure windows vm,5400,LOW,15,298.54,1613.72,No,
portal azure com,5400,LOW,11,185.58,1460.04,No,
azure marketplace,3600,LOW,12,278.82,806.86,No,
azure sql database,3600,LOW,20,316.47,1613.72,No,
microsoft azure cloud computing,3600,LOW,0,235.78,1502.55,No,
microsoft azure sql,3600,LOW,20,316.47,1613.72,No,
azure sql db,3600,LOW,20,316.47,1613.72,No,
azure market,3600,HIGH,95,39.45,126.41,No,
azure appservice,3600,LOW,13,274.33,1250.63,No,
azure pricing,2900,LOW,23,85.17,697.49,No,
azure ml,2900,LOW,28,281.50,1317.87,No,
azure monitoring,2900,LOW,15,258.20,1688.13,No,
azure cost,2900,LOW,23,85.17,697.49,No,
microsoft certified solutions expert,2900,LOW,5,127.30,782.21,No,
microsoft cloud drive,2900,LOW,5,62.76,610.53,No,
azure services,2400,MEDIUM,38,205.30,785.34,No,
azure data lake,2400,LOW,11,197.04,1079.82,No,
azure sql,2400,LOW,27,285.99,1422.77,No,
azure vm pricing,2400,LOW,20,59.17,867.82,No,
azure vm cost,2400,LOW,20,59.17,867.82,No,
the azure,2400,LOW,4,14.60,527.42,No,
azure stu,2400,LOW,3,448.26,1918.54,No,
az 305,1900,LOW,20,159.10,828.38,No,
azure cosmos db,1900,LOW,8,141.65,1216.57,No,
azure cloud services,1600,MEDIUM,37,250.78,996.03,No,
azure remote desktop,1600,LOW,22,219.65,1022.02,No,
azure migration,1600,LOW,30,789.83,1434.42,No,
azure kubernetes service,1600,LOW,6,216.96,910.86,No,
azure db,1600,LOW,29,282.40,1436.41,No,
azure data explorer,1600,LOW,6,277.92,1012.77,No,
microsoft cloud solution provider,1600,MEDIUM,34,528.94,2302.24,No,
azure artificial intelligence service,1600,LOW,17,249.61,1075.81,No,
azure advantages over aws,1600,LOW,6,34.07,1100.11,No,
eventhub azure,1600,LOW,7,106.68,585.42,No,
microsoft azure cloud,1300,LOW,21,284.19,1503.45,No,
microsoft azure portal,1300,LOW,19,291.37,2079.91,No,
azure ml studio,1300,LOW,24,325.43,1585.87,No,
microsoft marketplace,1300,LOW,5,430.33,1378.84,No,
azure kubernetes,1300,LOW,18,248.01,1183.40,No,
ms azure cloud,1300,LOW,21,284.19,1503.45,No,
azure sql pricing,1300,LOW,15,187.18,1008.58,No,
ms azure portal,1300,LOW,19,291.37,2079.91,No,
azure sql cost,1300,LOW,15,187.18,1008.58,No,
azure sql db pricing,1300,LOW,15,187.18,1008.58,No,
azure sql server,1000,LOW,28,298.54,1424.56,No,
microsoft azure cloud services,1000,LOW,3,269.85,1006.78,No,
azure postgresql,1000,LOW,17,314.68,1821.24,No,
microsoft cloud services,1000,LOW,24,319.16,942.23,No,
azure cloud platform,1000,LOW,8,225.92,949.86,Yes,Bouquet INR - 2
azure devops server,1000,LOW,7,299.44,857.62,No,
azure automate,1000,LOW,9,221.70,1131.73,No,
windows azure,880,LOW,30,182.89,1216.57,No,
azure hosting,880,MEDIUM,52,347.85,1613.72,No,
azure security,880,MEDIUM,38,464.39,1671.10,No,
azure vdi,880,LOW,32,253.71,1659.44,No,
azure web hosting,880,MEDIUM,52,347.85,1613.72,No,
azure security center,880,LOW,10,343.36,1310.38,No,
azure b2c,880,LOW,6,306.61,1650.48,No,
azure devops services,880,LOW,5,325.21,1333.11,No,
databricks architecture,880,LOW,31,457.15,1214.77,No,
azure website hosting,880,MEDIUM,52,347.85,1613.72,No,
microsoft intune price,880,MEDIUM,45,1237.64,4329.26,No,
azure applications,880,LOW,19,221.44,1203.12,No,
azure iothub,880,LOW,11,263.57,1075.81,No,
azure integration services,720,LOW,27,355.92,1979.50,No,
azure cost management,720,LOW,31,442.23,2096.05,No,
azure dashboard,720,LOW,19,207.73,987.06,No,
microsoft azure pricing,720,MEDIUM,35,208.89,926.99,No,
azure iam,720,LOW,18,333.50,1266.68,No,
azure kinect,720,LOW,9,61.86,531.63,No,
azure architecture,720,LOW,21,254.61,1199.16,No,
microsoft devops,720,LOW,29,289.86,915.34,No,
azure repos,720,LOW,10,293.16,1171.34,No,
azure websites,720,LOW,25,228.61,952.51,No,
azure stream analytics,720,LOW,3,225.02,859.45,No,
microsoft azure cost,720,MEDIUM,35,208.89,926.99,No,
azure migration services,720,LOW,7,1049.82,2304.04,No,
azure networking,720,LOW,28,260.64,1143.05,No,
azure certified solutions architect,720,MEDIUM,37,151.51,543.29,Yes,Bouquet INR - 2
azure web,720,LOW,25,228.61,952.51,No,
iam in azure,720,LOW,18,333.50,1266.68,No,
azure certified architect,720,MEDIUM,38,138.07,474.26,No,
downdetector azure,720,LOW,0,,,No,
certified azure solutions architect,720,MEDIUM,37,151.51,543.29,No,
azure com,720,MEDIUM,50,141.88,892.03,No,
azure cloud computing,590,LOW,25,340.67,1207.60,No,
azure vmware solution,590,LOW,9,311.99,1506.14,Yes,Bouquet INR - 2
dev azure portal,590,LOW,18,223.23,844.62,No,
azure solution architect,590,MEDIUM,36,189.23,881.64,No,
microsoft azure devops,590,LOW,28,333.69,1488.21,No,
microsoft azure marketplace,590,LOW,12,365.78,1247.05,No,
azure ad b2c,590,LOW,13,339.78,1997.27,No,
azure paas,590,LOW,7,237.58,823.10,No,
azure consulting services,590,LOW,7,613.21,4354.36,No,
azure development,590,LOW,20,283.30,917.13,No,
azure linux,590,LOW,10,276.13,782.66,No,
azure redis,590,LOW,5,263.57,1562.36,No,
kafka azure,590,LOW,18,392.42,1846.82,No,
az305,590,LOW,16,149.62,626.66,No,
microsoft azure vm,590,LOW,15,403.43,1992.05,No,
azure docs,590,LOW,6,309.30,1469.38,No,
kafka in azure,590,LOW,18,392.42,1846.82,No,
azure platform as a service,590,LOW,7,237.58,823.10,No,
aws and azure,590,LOW,8,64.55,1270.36,No,
microsoft azure active directory,480,LOW,25,305.71,1404.84,No,
microsoft azure services,480,MEDIUM,34,266.26,910.86,No,
azure cloud security,480,MEDIUM,44,635.63,2225.09,No,
azure studio,480,LOW,16,281.74,1247.05,No,
azure analysis services,480,LOW,12,299.44,1284.84,No,
azure products,480,MEDIUM,48,205.30,693.00,No,
microsoft certified azure solutions architect expert,480,LOW,29,183.38,734.24,No,
azure architecture center,480,LOW,8,299.44,1231.69,No,
azure compute,480,LOW,16,253.71,1216.57,No,
azure avd,480,LOW,22,198.13,924.30,No,
azure daas,480,LOW,25,110.27,290.47,No,
azure cosmos,480,LOW,6,135.37,1524.07,No,
azure data center,480,LOW,14,293.16,1255.12,No,
azure equivalent of s3,480,LOW,14,222.34,627.56,No,
s3 equivalent in azure,480,LOW,14,222.34,627.56,No,
databricks azure,390,MEDIUM,33,215.59,835.55,No,
microsoft azure ad,390,LOW,28,251.02,1443.39,No,
azure platform,390,LOW,32,204.40,812.24,No,
azure desktop,390,MEDIUM,42,182.89,988.29,No,
azure managed services,390,LOW,26,726.18,3656.93,No,
dev azure,390,LOW,24,203.51,1074.92,No,
azure ad pricing,390,LOW,18,314.68,1703.68,No,
azure ad portal,390,LOW,21,226.82,1248.71,No,
azure iaas,390,LOW,14,235.78,794.31,No,
azure search,390,LOW,6,184.68,1413.80,No,
azure solutions architect expert,390,MEDIUM,35,160.31,783.10,No,
azure iot edge,390,LOW,5,281.50,667.01,No,
azure serverless,390,LOW,10,212.47,627.64,No,
azure for startups,390,LOW,28,642.80,3107.31,No,
azure defender,390,LOW,9,382.81,1034.65,No,
azure explorer,390,LOW,3,258.20,1075.81,No,
azure data,390,LOW,16,224.13,880.98,No,
azure ad cost,390,LOW,18,314.68,1703.68,No,
datto bcdr,390,MEDIUM,43,465.29,2174.94,No,
azure cloud hosting,390,MEDIUM,64,473.36,1613.72,No,
azure intune,390,MEDIUM,37,299.27,2127.05,No,
azure technologies,390,LOW,27,232.20,608.73,No,
microsoft azure ml,390,MEDIUM,37,325.43,1606.55,No,
microsoft avd,390,LOW,32,207.09,1315.28,No,
azure red hat openshift,390,LOW,12,201.72,717.21,No,
ado azure,390,LOW,9,237.58,1088.37,No,
microsoft windows azure,390,LOW,20,225.72,1272.15,No,
microsoft azure paas,390,LOW,1,358.60,1445.18,No,
serverless computing in azure,390,LOW,10,212.47,627.64,No,
microsoft azure sql database,320,MEDIUM,37,367.57,1692.38,No,
microsoft azure security,320,MEDIUM,34,474.26,2086.18,No,
azure web services,320,LOW,26,208.89,999.61,No,
azure partner,320,LOW,33,555.84,4882.41,No,
azure sql server pricing,320,LOW,28,159.58,1169.95,No,
microsoft cloud computing,320,LOW,32,329.02,1298.15,No,
vmware on azure,320,LOW,26,304.81,1201.33,Yes,Bouquet INR - 2
openai azure,320,LOW,14,154.14,1075.81,No,
azure cosmos db pricing,320,LOW,9,106.68,712.73,No,
microsoft databricks,320,LOW,32,226.12,805.07,No,
sap on azure,320,LOW,17,380.12,2689.54,No,
snowflake azure,320,LOW,16,213.37,1010.75,No,
azure oracle,320,LOW,10,445.57,751.28,No,
azure vpc,320,LOW,4,417.77,2865.25,No,
azure ml services,320,LOW,17,282.40,1879.31,No,
az 305 certification,320,LOW,20,140.75,557.98,No,
databricks microsoft,320,LOW,32,226.12,805.07,No,
ec2 equivalent in azure,320,LOW,13,330.81,1419.12,No,
azure sphere,320,LOW,3,338.88,1190.57,No,
azure ai102,320,LOW,24,176.61,1217.46,No,
dev azure com,320,LOW,17,266.26,970.03,No,
azure mongodb,260,LOW,23,249.23,1767.03,No,
azure directory,260,LOW,29,190.96,1018.44,No,
azure docker,260,LOW,12,242.95,757.55,No,
microsoft cloud server,260,MEDIUM,34,385.50,1456.83,No,
microsoft azure server,260,LOW,33,231.30,734.24,No,
microsoft azure iot,260,LOW,20,312.88,913.09,No,
az 305 dumps,260,LOW,8,97.72,288.68,No,
azure aws,260,LOW,17,247.44,1098.23,No,
azure infrastructure,260,LOW,24,236.68,791.60,No,
azure snowflake,260,LOW,20,211.58,1011.42,No,
microsoft cloud security,260,LOW,17,684.29,2430.45,No,
azure power bi,260,LOW,19,272.54,926.10,No,
kinect azure,260,LOW,12,53.39,562.11,No,
azure postgresql pricing,260,LOW,18,73.51,1450.56,No,
azure private cloud,260,LOW,26,301.23,1153.25,No,
azure analytics,260,LOW,13,275.31,896.51,No,
azure vm types,260,LOW,3,247.44,838.24,No,
microsoft data lake,260,LOW,9,269.85,823.89,No,
azure solutions,260,LOW,29,303.02,944.03,No,
azure kinect dk,260,LOW,21,89.49,834.65,No,
